Timestamp,Date,Transactions
1459382400000,2016-03-31,32259
1459468800000,2016-04-01,33320
1459555200000,2016-04-02,29358
1459641600000,2016-04-03,29588
1459728000000,2016-04-04,34907
1459814400000,2016-04-05,39173
1459900800000,2016-04-06,32078
1459987200000,2016-04-07,31893
1460073600000,2016-04-08,34010
1460160000000,2016-04-09,31923
1460246400000,2016-04-10,32237
1460332800000,2016-04-11,30327
1460419200000,2016-04-12,34673
1460505600000,2016-04-13,36051
1460592000000,2016-04-14,34781
1460678400000,2016-04-15,34959
1460764800000,2016-04-16,30483
1460851200000,2016-04-17,40203
1460937600000,2016-04-18,33513
1461024000000,2016-04-19,32622
1461110400000,2016-04-20,32944
1461196800000,2016-04-21,37181
1461283200000,2016-04-22,31678
1461369600000,2016-04-23,31845
1461456000000,2016-04-24,34046
1461542400000,2016-04-25,35430
1461628800000,2016-04-26,32582
1461715200000,2016-04-27,33847
1461801600000,2016-04-28,34343
1461888000000,2016-04-29,37332
1461974400000,2016-04-30,45769
1462060800000,2016-05-01,39578
1462147200000,2016-05-02,41748
1462233600000,2016-05-03,37821
1462320000000,2016-05-04,37484
1462406400000,2016-05-05,38707
1462492800000,2016-05-06,41271
1462579200000,2016-05-07,35864
1462665600000,2016-05-08,40063
1462752000000,2016-05-09,38560
1462838400000,2016-05-10,40684
1462924800000,2016-05-11,40811
1463011200000,2016-05-12,45002
1463097600000,2016-05-13,47739
1463184000000,2016-05-14,45745
1463270400000,2016-05-15,43073
1463356800000,2016-05-16,37424
1463443200000,2016-05-17,40309
1463529600000,2016-05-18,46033
1463616000000,2016-05-19,44523
1463702400000,2016-05-20,45177
1463788800000,2016-05-21,43621
1463875200000,2016-05-22,38895
1463961600000,2016-05-23,43806
1464048000000,2016-05-24,42911
1464134400000,2016-05-25,46443
1464220800000,2016-05-26,51147
1464307200000,2016-05-27,49006
1464393600000,2016-05-28,70148
1464480000000,2016-05-29,45890
1464566400000,2016-05-30,42927
1464652800000,2016-05-31,44386
1464739200000,2016-06-01,42221
1464825600000,2016-06-02,39666
1464912000000,2016-06-03,39834
1464998400000,2016-06-04,37875
1465084800000,2016-06-05,37896
1465171200000,2016-06-06,38957
1465257600000,2016-06-07,46141
1465344000000,2016-06-08,40433
1465430400000,2016-06-09,39854
1465516800000,2016-06-10,40145
1465603200000,2016-06-11,36901
1465689600000,2016-06-12,42581
1465776000000,2016-06-13,46185
1465862400000,2016-06-14,50335
1465948800000,2016-06-15,43251
1466035200000,2016-06-16,43392
1466121600000,2016-06-17,66558
1466208000000,2016-06-18,63083
1466294400000,2016-06-19,51035
1466380800000,2016-06-20,47118
1466467200000,2016-06-21,47323
1466553600000,2016-06-22,48615
1466640000000,2016-06-23,41908
1466726400000,2016-06-24,45331
1466812800000,2016-06-25,36684
1466899200000,2016-06-26,41613
1466985600000,2016-06-27,39663
1467072000000,2016-06-28,43089
1467158400000,2016-06-29,49897
1467244800000,2016-06-30,63952
1467331200000,2016-07-01,40085
1467417600000,2016-07-02,39257
1467504000000,2016-07-03,39757
1467590400000,2016-07-04,39950
1467676800000,2016-07-05,39270
1467763200000,2016-07-06,37900
1467849600000,2016-07-07,40433
1467936000000,2016-07-08,42506
1468022400000,2016-07-09,40410
1468108800000,2016-07-10,39358
1468195200000,2016-07-11,38582
1468281600000,2016-07-12,40811
1468368000000,2016-07-13,35740
1468454400000,2016-07-14,42809
1468540800000,2016-07-15,41110
1468627200000,2016-07-16,38062
1468713600000,2016-07-17,33914
1468800000000,2016-07-18,39198
1468886400000,2016-07-19,44184
1468972800000,2016-07-20,50631
1469059200000,2016-07-21,44882
1469145600000,2016-07-22,48458
1469232000000,2016-07-23,45006
1469318400000,2016-07-24,58215
1469404800000,2016-07-25,54856
1469491200000,2016-07-26,61930
1469577600000,2016-07-27,53035
1469664000000,2016-07-28,48555
1469750400000,2016-07-29,47243
1469836800000,2016-07-30,42011
1469923200000,2016-07-31,48749
1470009600000,2016-08-01,45978
1470096000000,2016-08-02,49041
1470182400000,2016-08-03,49475
1470268800000,2016-08-04,46761
1470355200000,2016-08-05,43212
1470441600000,2016-08-06,41487
1470528000000,2016-08-07,42955
1470614400000,2016-08-08,42984
1470700800000,2016-08-09,47057
1470787200000,2016-08-10,46290
1470873600000,2016-08-11,48171
1470960000000,2016-08-12,44400
1471046400000,2016-08-13,41088
1471132800000,2016-08-14,40577
1471219200000,2016-08-15,42302
1471305600000,2016-08-16,48949
1471392000000,2016-08-17,44867
1471478400000,2016-08-18,47799
1471564800000,2016-08-19,42948
1471651200000,2016-08-20,41318
1471737600000,2016-08-21,42543
1471824000000,2016-08-22,44250
1471910400000,2016-08-23,48430
1471996800000,2016-08-24,46821
1472083200000,2016-08-25,49868
1472169600000,2016-08-26,47292
1472256000000,2016-08-27,47938
1472342400000,2016-08-28,42607
1472428800000,2016-08-29,45510
1472515200000,2016-08-30,46979
1472601600000,2016-08-31,45846
1472688000000,2016-09-01,47491
1472774400000,2016-09-02,55413
1472860800000,2016-09-03,44792
1472947200000,2016-09-04,48128
1473033600000,2016-09-05,42667
1473120000000,2016-09-06,49102
1473206400000,2016-09-07,48701
1473292800000,2016-09-08,55970
1473379200000,2016-09-09,53918
1473465600000,2016-09-10,42875
1473552000000,2016-09-11,43345
1473638400000,2016-09-12,45123
1473724800000,2016-09-13,42591
1473811200000,2016-09-14,53859
1473897600000,2016-09-15,52622
1473984000000,2016-09-16,57532
1474070400000,2016-09-17,46882
1474156800000,2016-09-18,37893
1474243200000,2016-09-19,40505
1474329600000,2016-09-20,54067
1474416000000,2016-09-21,44549
1474502400000,2016-09-22,52657
1474588800000,2016-09-23,35219
1474675200000,2016-09-24,43418
1474761600000,2016-09-25,38713
1474848000000,2016-09-26,43514
1474934400000,2016-09-27,46817
1475020800000,2016-09-28,42797
1475107200000,2016-09-29,40416
1475193600000,2016-09-30,35836
1475280000000,2016-10-01,53076
1475366400000,2016-10-02,51105
1475452800000,2016-10-03,47672
1475539200000,2016-10-04,56662
1475625600000,2016-10-05,41719
1475712000000,2016-10-06,36826
1475798400000,2016-10-07,43708
1475884800000,2016-10-08,37690
1475971200000,2016-10-09,43940
1476057600000,2016-10-10,44940
1476144000000,2016-10-11,41053
1476230400000,2016-10-12,30002
1476316800000,2016-10-13,32244
1476403200000,2016-10-14,42006
1476489600000,2016-10-15,33662
1476576000000,2016-10-16,34990
1476662400000,2016-10-17,38136
1476748800000,2016-10-18,51898
1476835200000,2016-10-19,38497
1476921600000,2016-10-20,43438
1477008000000,2016-10-21,57780
1477094400000,2016-10-22,37772
1477180800000,2016-10-23,35364
1477267200000,2016-10-24,52547
1477353600000,2016-10-25,47610
1477440000000,2016-10-26,45158
1477526400000,2016-10-27,44353
1477612800000,2016-10-28,41522
1477699200000,2016-10-29,40011
1477785600000,2016-10-30,39435
1477872000000,2016-10-31,45031
1477958400000,2016-11-01,49025
1478044800000,2016-11-02,43519
1478131200000,2016-11-03,42346
1478217600000,2016-11-04,32572
1478304000000,2016-11-05,37690
1478390400000,2016-11-06,34391
1478476800000,2016-11-07,41941
1478563200000,2016-11-08,41569
1478649600000,2016-11-09,40517
1478736000000,2016-11-10,40164
1478822400000,2016-11-11,41070
1478908800000,2016-11-12,40882
1478995200000,2016-11-13,43673
1479081600000,2016-11-14,43876
1479168000000,2016-11-15,45330
1479254400000,2016-11-16,41684
1479340800000,2016-11-17,40738
1479427200000,2016-11-18,43785
1479513600000,2016-11-19,39289
1479600000000,2016-11-20,42125
1479686400000,2016-11-21,42735
1479772800000,2016-11-22,53585
1479859200000,2016-11-23,64289
1479945600000,2016-11-24,36861
1480032000000,2016-11-25,58075
1480118400000,2016-11-26,40804
1480204800000,2016-11-27,44449
1480291200000,2016-11-28,48388
1480377600000,2016-11-29,47036
1480464000000,2016-11-30,39178
1480550400000,2016-12-01,37121
1480636800000,2016-12-02,41642
1480723200000,2016-12-03,41357
1480809600000,2016-12-04,39643
1480896000000,2016-12-05,41613
1480982400000,2016-12-06,48200
1481068800000,2016-12-07,41757
1481155200000,2016-12-08,39587
1481241600000,2016-12-09,41444
1481328000000,2016-12-10,40564
1481414400000,2016-12-11,39164
1481500800000,2016-12-12,38741
1481587200000,2016-12-13,44664
1481673600000,2016-12-14,47294
1481760000000,2016-12-15,46102
1481846400000,2016-12-16,43953
1481932800000,2016-12-17,39442
1482019200000,2016-12-18,36640
1482105600000,2016-12-19,45599
1482192000000,2016-12-20,44241
1482278400000,2016-12-21,50793
1482364800000,2016-12-22,55173
1482451200000,2016-12-23,44391
1482537600000,2016-12-24,37757
1482624000000,2016-12-25,36601
1482710400000,2016-12-26,34565
1482796800000,2016-12-27,42370
1482883200000,2016-12-28,43386
1482969600000,2016-12-29,46546
1483056000000,2016-12-30,44561
1483142400000,2016-12-31,41220
1483228800000,2017-01-01,38730
1483315200000,2017-01-02,39652
1483401600000,2017-01-03,45883
1483488000000,2017-01-04,50673
1483574400000,2017-01-05,49596
1483660800000,2017-01-06,43804
1483747200000,2017-01-07,43622
1483833600000,2017-01-08,42727
1483920000000,2017-01-09,46188
1484006400000,2017-01-10,48179
1484092800000,2017-01-11,45221
1484179200000,2017-01-12,50589
1484265600000,2017-01-13,50833
1484352000000,2017-01-14,42044
1484438400000,2017-01-15,41748
1484524800000,2017-01-16,45375
1484611200000,2017-01-17,46671
1484697600000,2017-01-18,44994
1484784000000,2017-01-19,43628
1484870400000,2017-01-20,45775
1484956800000,2017-01-21,43302
1485043200000,2017-01-22,47432
1485129600000,2017-01-23,46076
1485216000000,2017-01-24,50414
1485302400000,2017-01-25,46256
1485388800000,2017-01-26,46856
1485475200000,2017-01-27,46680
1485561600000,2017-01-28,45189
1485648000000,2017-01-29,42509
1485734400000,2017-01-30,45369
1485820800000,2017-01-31,43649
1485907200000,2017-02-01,44541
1485993600000,2017-02-02,43709
1486080000000,2017-02-03,42778
1486166400000,2017-02-04,45410
1486252800000,2017-02-05,46542
1486339200000,2017-02-06,47306
1486425600000,2017-02-07,51866
1486512000000,2017-02-08,51089
1486598400000,2017-02-09,47873
1486684800000,2017-02-10,52222
1486771200000,2017-02-11,46560
1486857600000,2017-02-12,45319
1486944000000,2017-02-13,55990
1487030400000,2017-02-14,58298
1487116800000,2017-02-15,55320
1487203200000,2017-02-16,49674
1487289600000,2017-02-17,49406
1487376000000,2017-02-18,49398
1487462400000,2017-02-19,48227
1487548800000,2017-02-20,50152
1487635200000,2017-02-21,58434
1487721600000,2017-02-22,50372
1487808000000,2017-02-23,47601
1487894400000,2017-02-24,54081
1487980800000,2017-02-25,53245
1488067200000,2017-02-26,51716
1488153600000,2017-02-27,52642
1488240000000,2017-02-28,60277
1488326400000,2017-03-01,59774
